Date,Open,High,Low,Close,Adj Close,Volume
2012-01-17,345.0,345.0,345.0,345.0,344.507141,0.0
2012-01-18,345.0,345.0,345.0,345.0,344.507141,0.0
2012-01-19,345.0,345.0,345.0,345.0,344.507141,0.0
2012-01-20,345.0,345.0,345.0,345.0,344.507141,0.0
2012-01-23,345.0,345.0,345.0,345.0,344.507141,0.0
2012-01-24,345.0,345.0,345.0,345.0,344.507141,0.0
2012-01-25,342.5,342.5,342.5,342.5,342.010712,93.0
2012-01-26,342.5,342.5,342.5,342.5,342.010712,0.0
2012-01-27,342.5,342.5,342.5,342.5,342.010712,0.0
2012-01-30,350.0,350.0,350.0,350.0,349.5,44.0
2012-01-31,399.5,399.5,399.5,399.5,398.92929100000003,52.0
2012-02-01,399.5,399.5,399.5,399.5,398.92929100000003,0.0
2012-02-02,399.5,399.5,399.5,399.5,398.92929100000003,0.0
2012-02-03,350.0,350.0,350.0,350.0,349.5,100.0
2012-02-06,350.0,350.0,350.0,350.0,349.5,0.0
2012-02-07,350.0,350.0,350.0,350.0,349.5,0.0
2012-02-08,350.0,350.0,350.0,350.0,349.5,0.0
2012-02-09,350.0,350.0,350.0,350.0,349.5,0.0
2012-02-10,350.0,350.0,350.0,350.0,349.5,0.0
2012-02-13,350.0,350.0,350.0,350.0,349.5,0.0
2012-02-14,350.0,350.0,350.0,350.0,349.5,0.0
2012-02-15,350.0,350.0,350.0,350.0,349.5,0.0
2012-02-16,350.0,350.0,350.0,350.0,349.5,0.0
2012-02-17,350.0,350.0,350.0,350.0,349.5,0.0
2012-02-20,350.0,350.0,350.0,350.0,349.5,0.0
2012-02-21,350.0,350.0,350.0,350.0,349.5,0.0
2012-02-22,350.0,350.0,350.0,350.0,349.5,0.0
2012-02-23,350.0,350.0,350.0,350.0,349.5,0.0
2012-02-24,350.0,350.0,350.0,350.0,349.5,0.0
2012-02-27,268.0,268.0,268.0,268.0,267.61715699999996,10.0
2012-02-28,262.5,262.5,262.5,262.5,262.125,15.0
2012-02-29,299.5,299.5,299.5,299.5,299.072144,2.0
2012-03-01,299.5,299.5,299.5,299.5,299.072144,0.0
2012-03-02,299.5,299.5,299.5,299.5,299.072144,0.0
2012-03-05,299.5,299.5,299.5,299.5,299.072144,0.0
2012-03-06,299.5,299.5,299.5,299.5,299.072144,0.0
2012-03-07,299.5,299.5,299.5,299.5,299.072144,0.0
2012-03-08,299.5,299.5,299.5,299.5,299.072144,0.0
2012-03-09,299.5,299.5,299.5,299.5,299.072144,0.0
2012-03-12,299.5,299.5,299.5,299.5,299.072144,0.0
2012-03-13,299.5,299.5,299.5,299.5,299.072144,0.0
2012-03-14,299.5,299.5,299.5,299.5,299.072144,0.0
2012-03-15,299.5,299.5,299.5,299.5,299.072144,0.0
2012-03-16,299.5,299.5,299.5,299.5,299.072144,0.0
2012-03-19,299.5,299.5,299.5,299.5,299.072144,0.0
2012-03-20,299.5,299.5,299.5,299.5,299.072144,0.0
2012-03-21,299.5,299.5,299.5,299.5,299.072144,0.0
2012-03-22,299.5,299.5,299.5,299.5,299.072144,0.0
2012-03-23,299.5,299.5,299.5,299.5,299.072144,0.0
2012-03-26,299.5,299.5,299.5,299.5,299.072144,15.0
2012-03-27,312.5,312.5,312.5,312.5,312.053589,2.0
2012-03-28,325.0,325.0,325.0,325.0,324.535736,16.0
2012-03-30,350.0,395.0,350.0,395.0,394.43573,69.0
2012-04-02,394.0,394.0,394.0,394.0,393.437164,2.0
2012-04-03,394.0,394.0,394.0,394.0,393.437164,0.0
2012-04-04,394.0,394.0,394.0,394.0,393.437164,0.0
2012-04-05,394.0,394.0,394.0,394.0,393.437164,2.0
2012-04-10,394.0,399.5,394.0,399.5,398.92929100000003,1.0
2012-04-11,399.5,399.5,399.5,399.5,398.92929100000003,0.0
2012-04-12,399.5,399.5,399.5,399.5,398.92929100000003,0.0
