,Mean Volume,Momentum,Outlier
SWP,7352.166666666667,0.15445859872611511,False
GET,1291001.8333333333,0.15914724838869598,True
ELEC,388.0,0.15955056179775262,False
GLO,10379.833333333334,0.16000000000000014,False
BON,16592.916666666668,0.1603773584905659,False
PRC,73670.33333333333,0.16075471698113208,True
ABIO,43889.916666666664,0.16081540203850464,False
FCMC,7.0,0.16296296296296275,True
LBON,156.25,0.16585067319461433,True
AMUN,530405.75,0.16688741721854283,False
CEN,5007.083333333333,0.16807268007787202,False
POXEL,143595.83333333334,0.17085427135678422,True
RE,2307.4166666666665,0.1713747645951038,False
ODET,296.5,0.1717171717171715,False
GIRO,520.3333333333334,0.171875,True
CRLA,565.25,0.17406749555950185,False
FLY,2184.75,0.1745379876796711,True
SFPI,56512.166666666664,0.17647058823529393,False
PREC,491.25,0.1791907514450859,True
CBSM,8431.75,0.18333333333333335,False
LD,1293.6666666666667,0.1847826086956521,False
TES,636.4166666666666,0.18673050615595033,False
SBT,20486.916666666668,0.1892857142857145,False
DNX,3823.5,0.19136690647482024,True
CIV,493.8333333333333,0.19296640083671113,False
MEMS,11678.5,0.1941176470588235,False
RI,452143.5,0.19764910753156362,False
PIG,14407.25,0.20147058823529385,False
VIV,3944923.6666666665,0.20175679385122192,False
CRAV,262.1666666666667,0.20504504504504495,False
CCN,170.66666666666666,0.20517560073937124,False
EXE,842.5,0.20571428571428596,False
HIPAY,2312.25,0.2068965517241379,False
ICAD,121272.91666666667,0.2080093882939711,False
COUR,26.583333333333332,0.20889748549323017,True
QTE,135.0,0.21245828698553915,True
EDEN,680621.0833333334,0.21250797702616508,False
KOF,57622.083333333336,0.2127777777777775,False
INF,2412.0833333333335,0.21590909090909038,False
GEA,500.9166666666667,0.21702637889688203,True
RMS,101039.58333333333,0.21994535519125713,False
STM,2631087.1666666665,0.22020202020201984,False
TVLY,149.41666666666666,0.22222222222222276,True
CRTO,173.41666666666666,0.2254562254562258,False
FATL,23.75,0.22613065326633186,True
AFO,9694.083333333334,0.22832369942196484,True
RCO,89767.5,0.23191535305549582,False
CRAP,293.1666666666667,0.23907215293157758,False
STF,1752.25,0.23908826382153237,False
CAP,569819.0,0.24047878128400435,False
CRLO,236.0,0.2445652173913042,False
IRD,189.91666666666666,0.24808184143222478,True
GJAJ,765.0833333333334,0.25,True
SOG,1085.4166666666667,0.2522045855379189,False
APR,20256.416666666668,0.25628140703517666,False
CDA,13523.833333333334,0.2564102564102564,False
DIM,60372.5,0.2571057333116782,True
IPN,358320.3333333333,0.25877398221806325,False
MALT,2.0,0.2618519741497236,True
AURE,5487.0,0.26300578034682087,False
CATR,70.58333333333333,0.2655557899177392,True
DLTA,2122.1666666666665,0.26753246753246795,False
FGR,438594.0,0.2692901234567897,False
SAMS,256.25,0.27100387763894873,True
PERR,488.25,0.27542857142857113,True
MC,621516.25,0.27726269315673235,False
ES,2166.75,0.28192032686414725,False
SAF,1098918.8333333333,0.28203104446198357,False
SOP,30351.083333333332,0.28467683369644137,False
MRB,3028.25,0.2876830318690782,True
SFCA,319.5833333333333,0.2879581151832462,True
HBW,28396.666666666668,0.293333333333333,True
ALO,688457.0,0.29365351629502534,False
BNS,10628.416666666666,0.29745762711864465,True
MTU,17468.333333333332,0.30000000000000004,False
LNC,485.5833333333333,0.30000000000000027,False
JCQ,16914.333333333332,0.3002028397565917,False
GDS,1000.0,0.3028878441907319,False
GENX,24082.666666666668,0.3073770491803274,False
DSY,309738.0,0.3090443061149759,False
AIR,1934684.0,0.312137949616059,False
HERIG,4825.583333333333,0.3129169193450574,False
SII,7437.666666666667,0.3157894736842104,False
