Date,Symbol,Close,High,Low,Open,Volume
2017-02-20,XBRU:NYR,6.6370000000000005,6.695,6.568,6.647,281044
2017-02-21,XBRU:NYR,6.954,6.954,6.665,6.7,704438
2017-02-22,XBRU:NYR,6.271,6.75,6.1,6.7,2172365
2017-02-23,XBRU:NYR,5.75,6.27,5.6,6.27,2081243
2017-02-24,XBRU:NYR,5.851,6.032,5.7,5.702000000000001,704309
2017-02-27,XBRU:NYR,5.9910000000000005,6.058,5.613,6.011,1101997
2017-02-28,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,626992
2017-03-01,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-03-02,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-03-03,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-03-06,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-03-07,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-03-08,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-03-09,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-03-10,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-03-13,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-03-14,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-03-15,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-03-16,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-03-17,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-03-20,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-03-21,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-03-22,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-03-23,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-03-24,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-03-27,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-03-28,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-03-29,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-03-30,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-03-31,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-04-03,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-04-04,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-04-05,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-04-06,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-04-07,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-04-10,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-04-11,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-04-12,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-04-13,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-04-14,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-04-17,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-04-18,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-04-19,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-04-20,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-04-21,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-04-24,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-04-25,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-04-26,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-04-27,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-04-28,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-05-01,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-05-02,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-05-03,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-05-04,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-05-05,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-05-08,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-05-09,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-05-10,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-05-11,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-05-12,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-05-15,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-05-16,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-05-17,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-05-18,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-05-19,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-05-22,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-05-23,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-05-24,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-05-25,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-05-26,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-05-29,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-05-30,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-05-31,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-06-01,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-06-02,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-06-05,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-06-06,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-06-07,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-06-08,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-06-09,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-06-12,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-06-13,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-06-14,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-06-15,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-06-16,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-06-19,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-06-20,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-06-21,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-06-22,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-06-23,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-06-26,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-06-27,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-06-28,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-06-29,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-06-30,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-07-03,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-07-04,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-07-05,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-07-06,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-07-07,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-07-10,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-07-11,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-07-12,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-07-13,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-07-14,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-07-17,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-07-18,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-07-19,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-07-20,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-07-21,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-07-24,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-07-25,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-07-26,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-07-27,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-07-28,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-07-31,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-08-01,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-08-02,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-08-03,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-08-04,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-08-07,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-08-08,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-08-09,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-08-10,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-08-11,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-08-14,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-08-15,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-08-16,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-08-17,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-08-18,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-08-21,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-08-22,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-08-23,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-08-24,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-08-25,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-08-28,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-08-29,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-08-30,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-08-31,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-09-01,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-09-04,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-09-05,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-09-06,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-09-07,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-09-08,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-09-11,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-09-12,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-09-13,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-09-14,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-09-15,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-09-18,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-09-19,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-09-20,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-09-21,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-09-22,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-09-25,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-09-26,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-09-27,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-09-28,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-09-29,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-10-02,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
2017-10-03,XBRU:NYR,5.8,6.002000000000002,5.68,6.002000000000002,0
