Date,Close,High,Low,Open,Volume
2010-02-16,290.0,290.0,290.0,290.0,0
2010-02-17,290.0,290.0,290.0,290.0,0
2010-02-18,290.0,290.0,290.0,290.0,0
2010-02-19,290.0,290.0,290.0,290.0,0
2010-02-22,290.0,290.0,290.0,290.0,0
2010-02-23,290.0,290.0,290.0,290.0,0
2010-02-24,290.0,290.0,290.0,290.0,0
2010-02-25,290.0,290.0,290.0,290.0,0
2010-02-26,290.0,290.0,290.0,290.0,0
2010-03-01,290.0,290.0,290.0,290.0,0
2010-03-02,290.0,290.0,290.0,290.0,0
2010-03-03,290.0,290.0,290.0,290.0,0
2010-03-04,290.0,290.0,290.0,290.0,0
2010-03-05,290.0,290.0,290.0,290.0,0
2010-03-08,290.0,290.0,290.0,290.0,0
2010-03-09,290.0,290.0,290.0,290.0,0
2010-03-10,290.0,290.0,290.0,290.0,0
2010-03-11,290.0,290.0,290.0,290.0,0
2010-03-12,290.0,290.0,290.0,290.0,0
2010-03-15,290.0,290.0,290.0,290.0,0
2010-03-16,290.0,290.0,290.0,290.0,0
2010-03-17,290.0,290.0,290.0,290.0,0
2010-03-18,290.0,290.0,290.0,290.0,0
2010-03-19,290.0,290.0,290.0,290.0,0
2010-03-22,290.0,290.0,290.0,290.0,0
2010-03-23,290.0,290.0,290.0,290.0,0
2010-03-24,290.0,290.0,290.0,290.0,0
2010-03-25,290.0,290.0,290.0,290.0,0
2010-03-26,290.0,290.0,290.0,290.0,0
2010-03-29,290.0,290.0,290.0,290.0,0
2010-03-30,290.0,290.0,290.0,290.0,0
2010-03-31,290.0,290.0,290.0,290.0,0
2010-04-01,290.0,290.0,290.0,290.0,0
2010-04-02,290.0,290.0,290.0,290.0,0
2010-04-05,290.0,290.0,290.0,290.0,0
2010-04-06,290.0,290.0,290.0,290.0,0
2010-04-07,290.0,290.0,290.0,290.0,0
2010-04-08,290.0,290.0,290.0,290.0,0
2010-04-09,290.0,290.0,290.0,290.0,0
2010-04-12,290.0,290.0,290.0,290.0,0
2010-04-13,290.0,290.0,290.0,290.0,0
2010-04-14,290.0,290.0,290.0,290.0,0
2010-04-15,290.0,290.0,290.0,290.0,0
2010-04-16,290.0,290.0,290.0,290.0,0
2010-04-19,290.0,290.0,290.0,290.0,0
2010-04-20,290.0,290.0,290.0,290.0,0
2010-04-21,290.0,290.0,290.0,290.0,0
2010-04-22,290.0,290.0,290.0,290.0,0
2010-04-23,290.0,290.0,290.0,290.0,0
2010-04-26,290.0,290.0,290.0,290.0,0
2010-04-27,290.0,290.0,290.0,290.0,0
2010-04-28,290.0,290.0,290.0,290.0,0
2010-04-29,290.0,290.0,290.0,290.0,0
2010-04-30,290.0,290.0,290.0,290.0,0
2010-05-03,290.0,290.0,290.0,290.0,0
2010-05-04,290.0,290.0,290.0,290.0,0
2010-05-05,290.0,290.0,290.0,290.0,0
2010-05-06,290.0,290.0,290.0,290.0,0
2010-05-07,290.0,290.0,290.0,290.0,73
2010-05-10,290.0,290.0,290.0,290.0,0
2010-05-11,290.0,290.0,290.0,290.0,0
2010-05-12,290.0,290.0,290.0,290.0,0
2010-05-13,290.0,290.0,290.0,290.0,0
2010-05-14,290.0,290.0,290.0,290.0,0
2010-05-17,290.0,290.0,290.0,290.0,0
2010-05-18,290.0,290.0,290.0,290.0,0
2010-05-19,290.0,290.0,290.0,290.0,0
2010-05-20,290.0,290.0,290.0,290.0,0
2010-05-21,290.0,290.0,290.0,290.0,0
2010-05-24,290.0,290.0,290.0,290.0,0
2010-05-25,290.0,290.0,290.0,290.0,0
2010-05-26,290.0,290.0,290.0,290.0,0
2010-05-27,290.0,290.0,290.0,290.0,0
2010-05-28,290.0,290.0,290.0,290.0,0
2010-05-31,289.0,289.0,289.0,289.0,45
2010-06-01,285.0,285.0,285.0,285.0,45
2010-06-02,285.0,285.0,285.0,285.0,0
2010-06-03,285.0,285.0,285.0,285.0,0
2010-06-04,285.0,285.0,285.0,285.0,0
2010-06-07,285.0,285.0,285.0,285.0,0
2010-06-08,285.0,285.0,285.0,285.0,0
2010-06-09,285.0,285.0,285.0,285.0,0
2010-06-10,285.0,285.0,285.0,285.0,0
2010-06-11,285.0,285.0,285.0,285.0,0
